global_rank,page,rank_on_page,title,tags,last_reported,frequency_percent,completed,question_url,source_list_url,question_description
1,1,1,Destination Cache,Coding | Onsite,4 months ago,100,true,https://www.interviewdb.io/question/amazon/destination-cache,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"Amazon’s fulfillment centers process millions of package routing requests daily. To optimize the sorting system, the most frequently accessed package destinations are temporarily stored in memory. However, server memory is limited. Design and implement a data structure for a Least Recently Used (LRU) Cache to manage these package routes. It should support the following operations in O(1) average time complexity:
- get(key): Retrieve the value of the key if it exists in the cache.
- put(key, value): Insert or update the value of the key. If the cache reaches its capacity, it should invalidate the least recently used item."
2,1,2,Gold Thief,Coding | Phone | Onsite,2 weeks ago,100,true,https://www.interviewdb.io/question/amazon/gold-thief,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"There are n houses built in a street, each of which contains some gold bars in it: gold[i]. A thief is going to steal the maximal bars for houses, but he can’t steal in two adjacent houses because if he does it will make create suspicion and he will be caught.
How many gold bars can you steal at most?
Follow-up:
- what if we must skip 2 houses?
- what if it's circular such that first and last house are considered to be adjacent?"
4,1,4,Block Words,Coding | Phone | Onsite,3 months ago,75,true,https://www.interviewdb.io/question/amazon/block-words,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"You have a collection of baby blocks (cubes with single upper-case letters of the alphabet on each side).
Each block could have up to six different letters on it (or even more if we're in a universe with more than 3 dimensions), but for the sake of simplicity, we'll assume for now that each block only has two distinct letters.
The problem is to write a function that takes a collection of blocks and a target word and returns true or false depending on whether or not you can spell the target word with the collection of blocks.
Example:
(B,A),(A,B),(X,Y),(A,B): ""BABY"" => true
(B,A),(A,B),(L,E),(A,B): ""ABLE"" => false (since L and E are on the same block)"
5,1,5,Character Separation,Coding | Phone | Onsite,3 months ago,75,true,https://www.interviewdb.io/question/amazon/character-separation,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"Given a string like ""bcddd"", rearrange the string in a way that the output doesn’t have equal adjacent chars. Output should be: “dbdcd”.
If no such rearrangement is possible, throw an exception."
6,1,6,Common Manager,Coding | Phone | Onsite,1 month ago,75,true,https://www.interviewdb.io/question/amazon/common-manager,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"// Write a function that gives the first common manager for 2 employees.
// You may design the data structure and APIs as you see fit.
//
// Examples:
// Michael and Timothy -> Ann
// Sofia and Isabel -> Jeff
//
//

                Jeff
                 +
                 |
       +---------+--------+--------+
       |         |        |        |
       +         +        +        +
     Ann      Mathew   Jessica   George
      +                           +
      |                           |
   +-------+                 +--------+
   |       |                 |        |      
   +       +                 +        +      
Timothy  Sofia            Andrew    Isabel  
	         +
	         |
	     +---+---+
	     |       |
	             +
	         Michael

//
// Find the first common manager
// Input: two person's name, Two nodes are given.
// Output : the node of lowest manager.
This question is similar to Leetcode 1650, but you need to design the data structure instead of having the definition of the tree node."
7,1,7,Conversion Rate,Coding | Phone | Onsite,4 months ago,75,true,https://www.interviewdb.io/question/amazon/conversion-rate,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"Given an array of currency conversion rates. E.g. ['USD', 'GBP', 0.77] which means 1 USD is equal to 0.77 GBP, find the conversion rate from the 'from' currency to the 'to' currency. Your return value should be a number.
Example:
Rates: ['USD', 'JPY', 110] ['US', 'AUD', 1.45] ['JPY', 'GBP', 0.0070]
To/From currency ['GBP', 'AUD']
Find the rate for the 'To/From' curency. In this case, the correct result is 1.89."
8,1,8,Delivery Time,Coding | Phone | Onsite,1 month ago,75,false,https://www.interviewdb.io/question/amazon/delivery-time,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"Given an array of delivery times, output the median of all values seen so far after each new delivery time arrives.
Example:
Input: [5, 17, 100, 11]
Output: [5, 11, 17, 14]"
10,1,10,Query Builder,Low Level Design | Onsite,6 months ago,75,false,https://www.interviewdb.io/question/amazon/query-builder,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"We need a library for finding files that match a condition. For now we have only two conditions ­ ""the filename contains "" and ""the file extension is "". In the future we will want to support more. Conditions can be combined in a query. For example, ""filename contains foo && (extension = png || extension = jpg)""."
11,1,11,Raffle Winners,Coding | Phone | Onsite,5 months ago,75,false,https://www.interviewdb.io/question/amazon/raffle-winners,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"An e-conmerce platform wants to implement a promotional raffle system for a major sales event. Customers earn raffle entries based on their total spending during the promotional period. The probability of winning should be proportional to spending: a customer who spent $50 should have 5x the chance of winning compared to someone who spent $10. Write a function that takes a list of transactions (customer_id, amount) and returns K unique winners."
12,1,12,Top Visit Sequence,Coding | Phone | Onsite,1 month ago,75,false,https://www.interviewdb.io/question/amazon/top-visit-sequence,https://www.interviewdb.io/question/amazon?sortBy=frequency&page=1,"You are given a log of website visits. Each log entry contains:
- Time – when the page was visited
- Customer ID – the user who visited the page
- Page – the page that was visited
Your task is to determine the most frequently visited sequence of three consecutive pages (a 3-page sequence) across all customers.
Example
Input (Website Log)
Time   Customer   Page
T0     C1         A
T0     C2         E
T1     C1         B
T1     C2         B
T2     C1         C
T2     C2         C
T3     C1         D
T3     C2         D
T4     C1         E
T5     C2         A
Customer Visit Sequences
- C1: A → B → C → D → E
- C2: E → B → C → D → A
3-Page Sequences
- C1:
A → B → C
B → C → D
C → D → E
- A → B → C
- B → C → D
- C → D → E
- C2:
E → B → C
B → C → D
C → D → A
- E → B → C
- B → C → D
- C → D → A
The sequence B → C → D appears twice, which is more frequent than any other sequence.
Expected Output
[B, C, D]"
